"county_name","confirmed_cases","deaths","median_age","median_income","total_pop","date_of_first_case","rate_of_growth_first_30_days","rate_of_growth_30_60_days","rate_of_growth_60_90_days","rate_of_growth_90_120_days","rate_of_growth_120_150_days","rate_of_growth_150_180_days","infection_rate","death_rate"
"bell county",16512,214,30.6,52583,336506,2020-03-13,26.5969500176535,3.0322877279885,2.84972880816487,4.71080300775697,2.22450678678173,0.887190392172516,0.0490689616232697,0.0129602713178295
"bexar county",152231,2040,33.3,53999,1892004,2020-03-14,30.9446958175134,3.11461685505159,2.17695109814037,5.39333923404578,3.40046423860474,0.362907188192466,0.0804601893019254,0.0134006871136628
"blanco county",318,11,49.5,58500,11089,2020-03-24,11.2068965517241,1.6984126984127,1.95758870758871,6.58690621553994,1.6415068350555,0.486069631687902,0.0286770673640545,0.0345911949685535
"bosque county",988,20,46.5,48677,17955,2020-04-15,9.59770114942528,0.555555555555555,7.09572684572685,5.08053511421162,1.22215113339351,1.33274647992003,0.055026455026455,0.0202429149797571
"bowie county",4876,139,38.2,46283,93635,2020-03-18,16.7920205299532,3.91009256815908,3.77565759000057,1.22892848109852,1.24821417121766,1.43255825104674,0.0520745447749239,0.02850697292863
"brazoria county",26046,277,35.6,76426,345995,2020-03-14,22.2922174994535,3.56667870489628,1.44062846728363,4.08414898569896,2.71847264295575,0.975322830015515,0.0752785444876371,0.0106350303309529
"brazos county",16634,162,25.8,43907,214231,2020-03-18,30.7106758288025,2.46316933382944,3.23628529974274,4.66983051871855,0.954965438527569,1.0404100251735,0.0776451587305292,0.00973908861368282
"brewster county",945,8,43.1,38906,9220,2020-05-01,0,22.3323928412367,2.81344828521819,0.255246520459229,0.447235357196858,0.43623363678663,0.102494577006508,0.00846560846560847
"brown county",3382,81,41,43062,37787,2020-03-21,10.8307210031348,5.4184039787755,0.609571305854959,5.48985936713061,1.36681339404945,0.874521955210243,0.08950168047212,0.0239503252513306
"burleson county",1093,22,42.9,52510,17596,2020-03-28,11.6187739463602,2.40565126594538,3.91214578038982,4.09131850787391,0.797498748046273,0.684172976493725,0.0621163900886565,0.020128087831656
"burnet county",2196,34,44,57173,45017,2020-03-24,10.9044882320744,2.83608973660461,3.52072389000341,5.13439758844515,1.92668937120815,0.564702040292536,0.0487815714063576,0.0154826958105647
"caldwell county",2738,55,35.8,51346,40544,2020-03-28,10.1477832512315,5.5947560809632,6.30916106023551,4.31824724890198,0.664336173580287,0.749366241077955,0.0675315706393054,0.0200876552227904
"calhoun county",1361,13,37.7,58788,21821,2020-03-26,10.8234067807571,1.64682630652012,1.42991604606272,6.19156483619986,2.03440250148583,1.25192460688022,0.0623711103982402,0.00955180014695077
"callahan county",931,28,43.3,40945,13660,2020-04-07,3.44827586206896,7.48544973544973,2.30327216356628,2.8785332591239,1.76671476360734,1.04619251707554,0.0681551976573938,0.0300751879699248
"cameron county",32698,1126,31.4,36095,420201,2020-03-20,32.3870057304317,2.70894149716032,2.34332050229085,4.96495412209014,4.25866416523739,0.732499921914774,0.0778151408492602,0.0344363569637287
"camp county",969,32,36.8,41811,12670,2020-04-01,8.16091954022989,9.76465171515833,1.20509040018816,1.76547295744511,1.3193624230536,0.67241678884071,0.0764798737174428,0.0330237358101135
"carson county",331,11,41.1,67010,6033,2020-04-18,6.32183908045977,1.5,1.98412698412698,1.83920246420246,0,3.32512158795719,0.0548649096635173,0.0332326283987915
"cass county",1499,59,42.9,41432,30118,2020-03-24,10.632183908046,2.59287437422112,1.87268332342573,3.23317634339913,3.01841673121135,1.21227453439684,0.0497709011222525,0.0393595730486991
"castro county",832,22,34.4,44643,7891,2020-03-21,10.8470169677066,3.28432579229681,1.99917603110285,3.61877880156203,1.3175353460852,0.492626056355705,0.105436573311367,0.0264423076923077
"chambers county",3431,13,35.4,74368,39283,2020-03-22,15.2666348121864,1.71948092400043,2.97166305050657,5.77024586573628,1.30670731089746,0.641438010580993,0.0873405798946109,0.00378898280384727
"cherokee county",3491,92,38,44294,51594,2020-03-27,11.23973727422,4.4839239972632,2.32132347964531,7.11072728312345,2.70757936694344,0.457333704938818,0.0676629065395201,0.0263534803781152
"childress county",1292,13,32.8,40432,7064,2020-04-19,3.44827586206896,5,0.555555555555555,7.51888043573484,0.774761601069777,1.11628748904979,0.182899207248018,0.010061919504644
"clay county",874,13,46,46863,10369,2020-04-01,5.17241379310345,0,2.61111111111111,6.14724364329627,2.33503418952274,0.767663171395325,0.0842897097116405,0.0148741418764302
"cochran county",216,12,33.5,37500,2932,2020-04-23,0,0,10.8055555555556,4.95916358017085,1.07570268624848,1.8015577624694,0.0736698499317872,0.0555555555555556
"coke county",417,10,49.1,42500,3238,2020-05-05,0,7.5,8.22315014594427,0.776445453771035,0.264155918777768,3.21369822547507,0.128783199505868,0.0239808153477218
"coleman county",579,20,46.6,40804,8422,2020-05-02,5.17241379310345,0,4.91137566137566,5.58932547655471,1.10530126483991,0.86803901802378,0.0687485157919734,0.0345423143350604
"collin county",64721,483,36.5,90124,914075,2020-03-09,20.1212320022525,3.06072069307881,1.83710234567743,3.02695982374289,2.19783225864825,1.76962880688074,0.0708049120695785,0.00746280187265339
"colorado county",1251,17,43.4,50241,20913,2020-04-01,7.05391351943076,2.81636248741512,4.81951951005467,3.51516265131188,1.96176435182856,0.460889181750228,0.0598192511834744,0.0135891286970424
"comal county",7314,190,42.2,73655,129100,2020-03-22,19.4957289430734,1.75488429941818,3.87593875911881,6.24769881503824,1.67805831455268,0.646449367939548,0.0566537567776917,0.0259775772491113
"comanche county",1118,36,44.4,42419,13492,2020-04-01,6.89655172413793,5.93265993265993,0.555555555555555,7.23905259642048,2.56393305935827,1.17229738536431,0.0828639193596205,0.0322003577817531
"concho county",245,4,41.9,46696,3858,2020-04-10,0,0,10.526455026455,3.29488507783029,2.52733169241981,3.02594453868654,0.0635044064282011,0.0163265306122449
"cooke county",2806,48,40.5,60027,39064,2020-04-10,10.9114544459372,1.78766895872159,4.83777705906952,3.8409537597756,1.45198742234754,1.13264393794394,0.0718308416956789,0.0171062009978617
"coryell county",4312,45,31.2,50865,75818,2020-03-24,20.089979279863,3.60154608766556,1.12451700383256,1.22538521038854,1.82650882742363,3.12143331802448,0.0568730380648395,0.0104359925788497
"cottle county",176,7,47.6,33534,1498,2020-04-27,6.32183908045977,0,2.05555555555555,3.49506974506975,1.2037037037037,0.954911664538101,0.117489986648865,0.0397727272727273
"crosby county",383,22,37.7,38674,5895,2020-04-06,3.44827586206896,1.66666666666667,8.59985754985755,2.41327880330438,1.51598104709155,0.278413507461314,0.0649703138252757,0.0574412532637076
"dallam county",466,20,32.1,45580,7207,2020-04-06,10.632183908046,3.52060483089895,4.29859949354291,2.34182671813003,0.535906217074318,0.731358636157493,0.06465935895657,0.0429184549356223
"dallas county",234625,2453,33.3,53626,2552213,2020-03-10,31.4943939148479,4.64310004078285,2.83617009422432,2.79849816484267,2.24941491491098,1.11073330695195,0.0919300230819293,0.0104549813532232
"dawson county",1575,59,33.1,43201,13095,2020-03-26,14.296450675761,2.72087509519451,0.484508070866551,3.2166302254449,1.75158380221253,2.18672972181788,0.120274914089347,0.0374603174603175
"deaf smith county",2418,60,31.8,51543,18947,2020-03-21,10.9497686221824,8.82431492072678,1.80601195092643,2.25845011801168,1.70186891551622,0.520778192812411,0.127619148150103,0.0248138957816377
"delta county",213,5,43.7,42642,5172,2020-04-08,0,3.33333333333333,4.83333333333333,2.90996965996966,0.404411764705882,1.63972253979882,0.0411832946635731,0.0234741784037559
"denton county",46272,439,34.9,80290,781321,2020-03-17,17.1935174562374,2.09139592423879,1.77135221042579,2.9962110845472,2.18993477479448,1.07910343420153,0.0592227778339504,0.00948737897648686
