"county_name","confirmed_cases","deaths","median_age","median_income","total_pop","date_of_first_case","rate_of_growth_first_30_days","rate_of_growth_30_60_days","rate_of_growth_60_90_days","rate_of_growth_90_120_days","rate_of_growth_120_150_days","rate_of_growth_150_180_days","infection_rate","death_rate"
"nueces county",31926,517,35.1,53317,358484,2020-03-22,43.0375717862675,3.52450001578979,2.31413522516918,10.114313926112,1.77571366180563,0.389129034685354,0.0890583680164247,0.0161936979264549
"ochiltree county",965,19,31.7,50120,10484,2020-04-24,26.5113299726618,0.800562341812097,0.60512612429837,1.6483514095886,0.739449220110709,2.58179213594253,0.0920450209843571,0.0196891191709845
"oldham county",167,2,29.9,62426,2083,2020-03-21,5.17241379310345,0,1.11111111111111,2.22222222222222,2.5976800976801,0.238095238095238,0.0801728276524244,0.0119760479041916
"orange county",5946,81,37.7,53667,83909,2020-03-22,23.522194797373,2.08052513816174,1.43032108011294,6.17520670778839,2.83841172973958,0.495773241090174,0.07086248197452,0.0136226034308779
"palo pinto county",2298,50,41,45067,28109,2020-04-02,8.44827586206896,2.20262145262145,1.36285283344107,7.82639439607534,3.25601197938255,0.95555236719637,0.081753175139635,0.0217580504786771
"panola county",1228,49,38.7,49704,23574,2020-04-03,14.2219391592135,1.01974862860787,0.502885070823777,0.847035239867922,0.508881436982726,0.703306599310638,0.0520912870111139,0.0399022801302932
"parker county",11314,115,39.6,70608,125963,2020-03-23,12.7288366918184,4.08792541486779,2.11310561427999,6.32465988866198,2.65697807008041,0.648327890739815,0.0898200265157229,0.0101643980908609
"parmer county",1113,32,34.1,50410,9871,2020-04-19,14.943131369306,4.82933948238,2.21129987010277,1.20094831968267,0.394526807517628,0.853881011091263,0.112754533481917,0.0287511230907457
"pecos county",1313,26,36.2,50543,15804,2020-04-06,17.6245210727969,8.51480893896225,0.811147080180524,1.59265098638591,1.25637848759906,0.849742887693947,0.0830802328524424,0.0198019801980198
"polk county",2492,70,43.4,43267,46974,2020-03-29,16.4703174895873,4.04170210308776,2.40028255481295,6.33942994629616,0.859630379110328,0.267017824712071,0.0530506237493081,0.0280898876404494
"potter county",15947,302,33.6,41852,121230,2020-03-21,21.5026927727775,10.1194176892108,0.921906070460102,0.390581011969193,0.620824563791908,0.48748845220043,0.131543347356265,0.018937731234715
"rains county",632,20,47.6,48308,11246,2020-04-10,3.44827586206896,2.77777777777778,5.20879120879121,4.05487972475478,0.55107962171828,0.753629116657938,0.0561977592032723,0.0316455696202532
"randall county",15104,208,35.6,65564,130552,2020-03-28,18.2799315841289,4.79411371458746,0.745397476023514,1.95778350086118,1.17107079974915,0.965929161095449,0.115693363563944,0.013771186440678
"red river county",549,31,45.6,35356,12353,2020-04-16,19.9179811248777,3.45512351689284,0.944959910286133,0.437111171661296,0.384360049895929,0.325784182495499,0.0444426455112119,0.0564663023679417
"reeves county",1522,33,35.4,49390,14791,2020-05-08,11.0673234811166,6.6926105349855,3.84376945519067,0.718175513918563,0.60944388949606,1.0793490774045,0.102900412412954,0.0216819973718791
"refugio county",536,17,42.3,50338,7293,2020-05-04,5.17241379310345,6.12678062678063,9.54557383020892,1.05115516962286,0.473026881369065,0.0757962532455615,0.0734951323186617,0.0317164179104478
"roberts county",49,1,37.8,79167,889,2020-04-16,3.44827586206896,0,4.27777777777778,0,1.52777777777778,1.56228956228956,0.0551181102362205,0.0204081632653061
"robertson county",1069,25,41.4,52189,16727,2020-03-24,3.44827586206896,4.83333333333333,4.89525707076858,6.50242471476468,1.307064638487,0.646992085611756,0.063908650684522,0.0233863423760524
"rockwall county",8222,78,37.2,93269,90414,2020-03-26,12.8305951429684,3.96603886892859,1.43589640276544,3.48686348221939,2.4597768356347,0.665670691026739,0.090937244232088,0.00948674288494284
"runnels county",1085,28,41.1,41226,10266,2020-04-28,3.44827586206896,3.88888888888889,10.3564046122094,2.94839619919896,1.23425547043604,0.397378436384868,0.105688681083187,0.0258064516129032
"rusk county",3065,65,38.5,49270,53026,2020-03-18,13.7058538148802,1.91579600548899,4.52250453973967,3.13198365821825,1.41218923860714,2.64489579454777,0.0578018330630257,0.0212071778140294
"sabine county",452,28,52.1,33561,10429,2020-04-16,5.17241379310345,7.29365079365079,2.85399758004716,2.12719705997017,0.64663555881927,0.422902747949104,0.0433406846293988,0.0619469026548673
"san augustine county",496,26,48.9,32394,8403,2020-04-01,16.0991690302035,3.08126227111503,3.54817954550628,1.34158654764805,0.700144297972434,0.224161864794884,0.0590265381411401,0.0524193548387097
"san jacinto county",634,21,44.2,43421,27436,2020-03-29,11.4983579638752,1.54092204092204,2.55737565742614,5.81796530380031,1.30901467228399,0.460881474835027,0.0231083248286922,0.0331230283911672
"san patricio county",3450,111,35.1,53332,66867,2020-03-26,13.7588943623426,3.26489299750169,3.77836921311316,6.9331573058397,2.54788106032313,0.644858611826655,0.051594957153753,0.0321739130434783
"san saba county",487,15,40.9,40301,5851,2020-05-19,3.44827586206896,6.26719576719577,3.47651923887622,1.58795451309535,3.17261944490239,4.29361913570187,0.0832336352760212,0.0308008213552361
"scurry county",2270,46,35.6,54565,17346,2020-04-16,3.44827586206896,32.666741283408,13.0943175002115,1.22616911459703,0.444210207901526,1.50677846060631,0.130865905684308,0.0202643171806167
"shelby county",1278,45,37.4,38121,25689,2020-03-27,20.2780074517544,2.60762131405818,1.19002161867413,0.931640876423361,0.72735912900187,0.27865424957841,0.0497489197711083,0.0352112676056338
"sherman county",118,11,39.8,54961,3067,2020-04-16,6.35462203360143,0.995296303267318,0.564484126984127,0.898465229526922,1.01868199376102,0.487167453903208,0.0384740789044669,0.0932203389830508
"smith county",15406,309,36.6,50742,222277,2020-03-13,14.466326960782,2.13287658854961,1.05884841162248,5.75905693307838,2.49156468233724,1.01110137476686,0.0693099151059264,0.0200571206023627
"somervell county",883,8,40.6,52346,8650,2020-06-09,12.9371299198885,4.53967189085802,1.84726684170339,0.613575450483145,0.50208493585643,1.90088498747134,0.102080924855491,0.00906002265005663
"starr county",7460,214,28.8,27133,63420,2020-03-27,5.57471264367816,4.50258761133374,9.66106123160245,5.12831376847,1.68833452179475,0.945071168077052,0.117628508356985,0.028686327077748
"stephens county",629,19,39.2,45862,9365,2020-04-10,0,6.66666666666667,3.80026455026455,4.04414923704473,5.97536558143567,0.359507187609695,0.0671649759743727,0.0302066772655008
"swisher county",682,14,35.6,37883,7541,2020-03-29,9.43349753694581,2.22346172346172,1.72871669742043,3.29132343062848,0.789429760958645,0.449754535209081,0.0904389338284047,0.0205278592375367
"tarrant county",195518,1798,34.2,62532,1983675,2020-03-10,34.9309605022369,5.58967099077389,2.46311178173285,3.03161020451312,2.40863519850654,0.939035924313049,0.0985635247709428,0.00919608424799763
"taylor county",13275,263,32.2,49161,135371,2020-03-27,25.0839086097121,0.419047752113953,1.03989862228281,3.8877955209564,0.811080236314286,0.498054063509578,0.0980638393747553,0.0198116760828625
"terry county",1475,46,34.6,42441,12755,2020-03-25,12.0689655172414,0.914141414141414,0.256410256410256,6.00964307810723,3.61129241882005,0.663339687373653,0.115640925127401,0.0311864406779661
"throckmorton county",56,3,48.2,37279,1541,2020-07-03,6.32183908045977,0,2.53174603174603,3.10425494984319,0.660287081339713,3.58550051701196,0.036340038935756,0.0535714285714286
"titus county",3137,60,34,46980,32664,2020-04-03,12.5062820321441,12.3071358175539,1.48729494043712,1.66490723530462,0.531913715967057,0.249503839935661,0.0960384521185403,0.0191265540325151
"tom green county",11547,204,34,49662,116906,2020-03-24,15.9501895726541,1.52093123674054,3.73142907841224,6.73090918506515,1.47801999819413,0.474917557102923,0.0987716627033685,0.0176669264744089
"travis county",61468,626,33.6,68350,1176584,2020-03-13,34.1448803282406,3.6018891154224,2.10961371054349,4.28107607509596,1.64763225330943,0.599868857480078,0.0522427637975699,0.0101841608641895
"trinity county",503,12,48.5,37398,14481,2020-04-04,5.95238095238095,2.22093647093647,3.35934220652891,4.31520910298805,0.938157662363234,0.340211443356986,0.0347351702230509,0.0238568588469185
"tyler county",999,19,43,44396,21456,2020-04-04,7.8735632183908,2.51467051467051,2.67989417989418,5.78959997252863,1.46010481463058,0.90251025907308,0.0465604026845638,0.019019019019019
"upshur county",2595,42,40.7,48796,40506,2020-03-24,10.8908045977011,1.39891725921138,3.05824283772991,3.96710387704866,2.57963234111276,0.858775820283781,0.0640645830247371,0.0161849710982659
"uvalde county",2733,48,33.8,40781,27015,2020-03-27,8.44827586206897,0,7.19716836139194,8.03311099802139,1.66721352752197,0.481100435740964,0.101166018878401,0.017563117453348
"val verde county",6331,158,31.7,44609,48976,2020-03-26,11.4367816091954,0.277777777777778,7.79981788456365,9.57758828320361,4.11387130585728,0.637440890431984,0.129267396275727,0.0249565629442426
"van zandt county",3154,77,43.3,50061,53607,2020-03-25,10.9867144349903,2.44280003410438,2.5424166016793,5.6157064797062,2.00726624842477,0.529891979924986,0.0588355998283806,0.0244134432466709
"victoria county",6672,134,35.7,55740,91518,2020-03-26,15.048203429886,1.36894790703721,2.40464328370376,8.06255920399663,1.10110197292515,0.246447594303729,0.0729036910771651,0.020083932853717
"walker county",7008,93,35.2,41456,70818,2020-03-25,22.9444375237792,4.26138460791501,5.52787246877248,1.10797306609478,0.683100618817664,0.390717251676038,0.0989578920613403,0.0132705479452055
"waller county",2659,27,28.8,53506,48443,2020-03-29,8.86347560485492,2.19315967358191,3.00068322138591,3.3130829831477,2.03155387841731,0.944646735121373,0.0548892512850154,0.010154193305754
"ward county",953,13,33.6,63333,11498,2020-05-23,9.97536945812807,7.69697565510519,1.37318964399334,0.613064391924491,0.887896944320105,2.30079038580135,0.0828839798225778,0.0136411332633788
"washington county",1668,69,42,55793,34667,2020-03-28,13.0195589991153,1.86021525220942,0.787691670673304,2.01631606132218,0.806077152901965,0.411465375049687,0.0481149219719041,0.0413669064748201
"webb county",34690,513,28.4,40442,269624,2020-03-17,22.999744426239,2.39355992090611,1.36035238971228,5.1430266926748,3.66835838489399,1.18410466217761,0.128660653354301,0.0147881233784952
"wharton county",2988,84,37.3,50145,41430,2020-03-25,10.306804834765,0.679761463794362,3.41545460857929,4.627673872612,2.98513336794497,0.7432525027113,0.0721216509775525,0.0281124497991968
"wheeler county",431,9,39.4,50910,5599,2020-04-22,13.3770348425521,0.222222222222222,1.82670769776033,1.25911909006551,0.558503842536741,0.847504162005328,0.0769780317913913,0.0208816705336427
"wichita county",13325,260,34.2,45776,131778,2020-03-20,20.3787946887145,1.00082504720012,1.50005108588234,6.07505564551627,1.6801420567502,1.04719886075072,0.101117030156779,0.0195121951219512
"wilbarger county",1707,41,37.2,43913,12972,2020-04-14,3.44827586206896,6.22222222222222,3.15493302993303,5.21088225256041,1.60580001063457,2.50981795706329,0.13159111933395,0.0240187463386057
"willacy county",1970,69,33.4,29104,21839,2020-03-27,11.4709906951286,0.256410256410256,7.47500937132302,5.46785012548174,1.35439431095411,1.42129936870307,0.0902055954942992,0.0350253807106599
"williamson county",29796,269,35.8,79123,508313,2020-03-19,21.2778006682473,4.16369313841817,2.47220659685437,5.24860430718069,1.78870358649884,0.352309991946116,0.0586174266642797,0.00902805745737683
"wilson county",2790,41,40.4,71942,47205,2020-03-26,13.5633646406549,1.43649741842423,2.40688468470816,5.82967729404292,1.03851352500313,2.0823960869345,0.0591039084842707,0.0146953405017921
"winkler county",639,15,32.6,55000,7777,2020-04-10,5.17241379310345,0,9.4438488791937,2.55600994794197,0.685355710079674,0.710791357472221,0.0821653593930822,0.0234741784037559
"wise county",5384,84,38.5,59081,63247,2020-03-30,13.1593406593407,3.9951427477477,2.54433693708879,3.83681736106039,2.84751761910159,0.66674236715895,0.0851265672680127,0.0156017830609212
"wood county",2553,85,48.1,48038,43315,2020-04-01,8.94088669950739,4.5520223532585,3.57490926992782,4.12346150062273,1.39304359195329,0.959484502197317,0.0589403209049983,0.0332941637289463
"young county",1685,32,41.5,46351,18166,2020-03-27,8.04597701149426,0,6.95595825742885,5.03793919204849,2.8347255619683,1.01556122259467,0.0927556974567874,0.0189910979228487
"zavala county",1208,28,30.8,25988,12152,2020-04-17,13.0541871921182,1.28451178451178,6.12078418823118,4.21894159906225,0.599449971384837,1.35755429124987,0.0994075049374589,0.0231788079470199
